ano,mes,sigla_uf,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,quantidade_horas_contratadas,salario_mensal,indicador_aprendiz,indicador_portador_deficiencia,cbo_2002,grau_instrucao,idade,sexo,raca_cor,previsao
2018,6,RO,1,1,2,8,44,1318.0,0,0,5,7,30,1,8.0,1
2018,1,RO,1,1,2,3,44,1899.0,0,0,3,7,22,0,4.0,1
2019,6,RO,1,1,2,2,44,1128.0,0,0,5,7,38,0,8.0,1
2018,8,RO,1,1,2,5,44,1094.0,0,0,5,7,36,0,9.0,1
2019,6,RO,1,1,2,3,44,1083.0,0,0,5,7,26,1,9.0,1
2018,1,RO,1,1,2,1,44,1442.0,0,0,7,3,27,1,2.0,1
2018,12,RO,1,1,2,2,44,1094.0,0,0,5,7,22,1,8.0,1
2018,7,RO,1,1,2,1,44,1085.0,0,0,4,7,18,0,8.0,1
2019,8,RO,1,1,2,5,44,998.0,0,0,2,9,30,0,8.0,1
2019,7,RO,1,1,2,7,44,1355.0,0,0,7,7,35,1,8.0,1
2018,11,RO,1,1,2,1,36,1125.0,0,0,5,7,31,1,9.0,1
2018,8,RO,1,1,2,5,44,1094.0,0,0,5,7,36,0,9.0,1
2018,7,RO,1,1,2,1,44,1085.0,0,0,3,7,24,1,9.0,1
2019,5,RO,1,1,2,6,44,1040.0,0,0,7,3,30,1,8.0,1
2018,3,RO,1,1,2,1,44,954.0,0,0,7,4,28,1,9.0,1
2019,2,RO,1,1,2,2,44,1128.0,0,0,4,7,25,0,8.0,1
2019,3,RO,1,1,2,2,44,1128.0,0,0,5,6,22,1,9.0,1
2019,1,RO,1,1,2,1,44,1096.0,0,0,4,7,22,0,8.0,1
2018,8,RO,1,1,2,5,44,1094.0,0,0,5,7,36,0,9.0,1
2018,9,RO,1,1,2,1,44,1177.0,0,0,7,7,29,1,8.0,1
2019,10,RO,0,1,4,5,44,1567.0,0,0,7,6,36,1,9.0,0
2018,10,RO,0,1,4,1,44,1085.0,0,0,5,7,24,1,8.0,0
2018,5,RO,0,1,4,3,36,1026.0,0,0,5,7,23,1,8.0,0
2018,10,RO,0,1,4,1,44,1471.0,0,0,7,5,58,1,8.0,0
2018,4,RO,0,1,4,8,44,2313.0,0,0,5,7,39,1,4.0,0
2019,1,RO,0,1,4,1,44,1123.0,0,0,8,7,42,1,9.0,0
2019,3,RO,0,1,4,2,44,1828.0,0,0,3,7,34,1,9.0,0
2019,6,RO,0,1,4,3,44,1128.0,0,0,5,7,38,1,8.0,0
2019,3,RO,0,1,4,4,44,1673.0,0,0,4,7,32,1,8.0,0
2019,10,RO,0,1,4,3,44,1083.0,0,0,5,7,38,1,4.0,0
2018,9,RO,0,3,6,3,44,1000.0,0,0,3,7,30,0,9.0,0
2018,3,RO,0,1,6,4,44,1215.0,0,0,4,8,25,1,9.0,0
2018,7,RO,0,1,6,3,44,1207.0,0,0,5,9,34,0,2.0,0
2018,2,RO,0,1,6,1,44,1778.0,0,0,7,7,52,1,2.0,0
2019,8,RO,0,1,11,6,22,499.0,1,0,4,6,20,1,2.0,0
2018,1,RO,0,1,11,2,44,1085.0,0,0,3,7,20,0,9.0,0
2018,5,RO,0,1,11,2,44,1085.0,0,0,5,7,27,1,8.0,0
2019,12,RO,0,1,11,5,44,1506.0,0,0,2,9,39,0,8.0,0
2019,3,RO,0,1,11,2,44,1646.0,0,0,3,9,29,0,8.0,0
2018,6,RO,1,1,25,6,44,1185.0,0,0,5,7,44,0,8.0,1
2018,8,RO,1,1,25,6,44,1040.0,0,0,3,4,24,1,8.0,1
2019,4,RO,0,1,33,2,44,1083.0,0,0,5,7,36,0,9.0,0
2018,8,RO,0,1,4,1,40,861.0,0,0,2,9,71,0,2.0,0
2019,1,RO,1,3,2,1,44,998.0,0,0,4,2,53,0,8.0,1
2018,9,RO,1,3,2,1,44,1319.0,0,0,6,3,37,1,8.0,1
2018,6,RO,0,1,4,2,44,542.0,0,0,5,7,24,1,9.0,0
2018,2,RO,1,1,2,1,44,1300.0,0,0,7,7,34,1,2.0,1
2018,11,RO,1,1,2,9,44,1202.0,0,0,7,6,40,1,8.0,1
2018,10,RO,1,1,2,1,44,1085.0,0,0,4,9,25,0,2.0,1
2019,11,RO,1,3,2,2,44,1200.0,0,0,6,3,25,1,9.0,1
2018,3,RO,1,1,2,3,44,1100.0,0,0,4,7,25,0,2.0,1
2018,7,RO,1,1,2,1,44,1142.0,0,0,5,6,23,1,9.0,1
2019,2,RO,0,3,4,3,44,1400.0,0,0,7,5,27,1,2.0,0
2019,4,RO,0,1,4,2,44,1040.0,0,0,5,7,24,0,8.0,0
2018,1,RO,0,1,4,1,44,3279.0,0,0,1,6,49,1,2.0,0
2018,8,RO,0,1,4,1,44,1100.0,0,0,8,6,26,1,8.0,0
2019,4,RO,0,1,4,5,44,2630.0,0,0,3,8,24,1,2.0,0
2019,3,RO,0,1,4,6,44,1128.0,0,0,5,4,19,1,8.0,0
2018,10,RO,0,1,43,2,44,1275.0,0,0,2,5,45,0,2.0,0
